case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
m21_pressure_medium_p22810_5_5d_multi_tower,m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,134,86,3,tam_like,fixed_path,ok,,0.9901418000000003,0.006250049043234056,159.99874450305995,-2742.751734117324,2.48,45.02638442832552,20.02638442832552,thermal_die3,0.9999779829515326,0.0021723353160123123,71,0.00215092,0.9901200000000001,0.9921656400000003,F:16;I:5;S:1,0,16,0,1,greedy
m21_pressure_medium_p22810_5_5d_multi_tower,m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,134,86,3,m4_greedy,joint,ok,,0.029009919999999998,0.00018311864294618855,5460.940425895692,16.710919197023287,16.330000000000002,56.53735006712066,31.537350067120663,thermal_die3,0.7666343099188139,0.07576994352276743,58,0.002198080000000001,0.022239999999999996,0.09967264,B:13;F:3;I:5;S:1,13,3,0,1,greedy
m21_pressure_medium_p22810_5_5d_multi_tower,m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,134,86,3,m5_cpsat,joint,ok,,0.02780452,0.0001755098245762194,5697.686738702914,20.171689099177726,15.029999999999998,54.33127076181491,29.331270761814913,thermal_die3,0.99983743650313,0.07890659504282038,59,0.00219396,0.027800000000000005,0.09943363999999999,B:12;F:4;I:5;S:1,12,4,0,1,OPTIMAL
m21_pressure_small_d695_2_5d_interposer,m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,84,54,2,pure_serial,baseline,ok,,10.714863120000006,1.0,1.0,-41090.73348505353,2.48,34.81142994331037,9.811429943310372,thermal_die3,0.0,0.9999987867320516,55,10.71485012000001,0,10.71480692,I:3;S:11,0,0,0,11,greedy
m21_pressure_small_d695_2_5d_interposer,m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,84,54,2,fixed_fastest,fixed_path,ok,,0.0260128,0.0024277305000234093,411.90733485053534,0.0,8.57,38.13280428071437,13.132804280714367,thermal_die1,0.0,0.04768575470537582,35,0.00124044,0,0.05314155999999998,B:10;I:3;S:1,10,0,0,1,greedy
m21_pressure_small_d695_2_5d_interposer,m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,84,54,2,tam_like,fixed_path,ok,,0.0558158,0.005209193936954368,191.96827994940512,-114.57051912904417,2.48,29.642739039275956,4.6427390392759555,thermal_die1,0.999716926031697,0.0216347342508752,45,0.0012075599999999999,0.055799999999999995,0.05695156,F:10;I:3;S:1,0,10,0,1,greedy
m21_pressure_small_d695_2_5d_interposer,m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,84,54,2,m4_greedy,joint,ok,,0.020957093333333333,0.00195588997252009,511.27620369745955,19.435457415836304,10.7,37.88589686416857,12.885896864168572,thermal_die1,0.7634646534952049,0.05872188382358368,38,0.00123064,0.016,0.05354455999999999,B:7;F:3;I:3;S:1,7,3,0,1,greedy
m21_pressure_small_d695_2_5d_interposer,m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,84,54,2,m5_cpsat,joint,ok,,0.02080736,0.0019419156145039013,514.9554349999233,20.01107147250584,11.67,36.34243909738277,11.342439097382773,thermal_die0,0.7689587722805777,0.05911369822985711,38,0.0012299999999999998,0.016000002000000003,0.05354456199999999,B:7;F:3;I:3;S:1,7,3,0,1,OPTIMAL
m21_pressure_small_d695_3d_stack,m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,84,54,1,pure_serial,baseline,ok,,10.714882000000003,1.0,1.0,-17755.56546523968,2.48,42.213684152438674,17.213684152438674,thermal_die3,0.0,0.9999987867341894,55,10.714869000000007,0,10.714807879999999,I:3;S:11,0,0,0,11,greedy
m21_pressure_small_d695_3d_stack,m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,84,54,1,fixed_fastest,fixed_path,ok,,0.06000863999999999,0.005600494713800859,178.5556546523968,0.0,4.45,51.84936477671418,26.849364776714182,thermal_die2,0.0,0.021049635519151913,35,0.00126316,0,0.06114251999999999,B:10;I:3;S:1,10,0,0,1,greedy
