case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,lane_count,power_profile,method_id,method_label,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,peak_power_w,peak_temperature_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,selected_recipe_types,thermal_violations,solver_status,solver_wall_time_s,alns_iterations,alns_improvement_percent
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,m5_cpsat,M5 CP-SAT,proposed,ok,,0.00227188,0.02437437585642048,41.02669155061006,2.7792000000000003,25.003153787783006,thermal_die1,0.06247975245171399,0.9999999999999998,F:16;I:5;S:1,0,FEASIBLE,5.121067200000001,,
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,m6_alns,M6 CP-SAT-ALNS,proposed,skipped,target_count=22 exceeds max_alns_targets=16,,,,,,,,,,,,,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,pure_serial,Pure serial IEEE 1838,baseline,ok,,0.09304835999999998,1.0,1.0,2.1799999999999997,25.130599203437754,thermal_die1,0.0,0.9997743109067154,I:5;S:17,0,greedy,0.0,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,fixed_fastest,Fixed fastest recipe,baseline,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,tam_like,Simplified TAM/FPP packing,baseline,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,low_power,Power-aware fixed recipe,baseline,ok,,0.00243992,0.026222063451736284,38.135824125381156,2.2584999999999997,25.00641139638094,thermal_die3,0.006327362295690023,0.8700941014459489,B:3;F:13;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,m4_all_recipes,M4 greedy without Pareto pruning,ablation,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,m4_greedy,M4 greedy recipe scheduling,proposed,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,m5_cpsat,M5 CP-SAT,proposed,ok,,0.00211252,0.02270346301643576,44.0461439418325,2.2584999999999997,25.003146261424366,thermal_die0,0.008406074262018818,0.9999999999999998,F:16;I:5;S:1,0,FEASIBLE,5.047341,,
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,m6_alns,M6 CP-SAT-ALNS,proposed,skipped,target_count=22 exceeds max_alns_targets=16,,,,,,,,,,,,,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,pure_serial,Pure serial IEEE 1838,baseline,ok,,0.09308675999999996,1.0,1.0,2.1799999999999997,25.15795893408409,thermal_die1,0.0,0.9997744040076159,I:5;S:17,0,greedy,0.0,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,fixed_fastest,Fixed fastest recipe,baseline,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,tam_like,Simplified TAM/FPP packing,baseline,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,low_power,Power-aware fixed recipe,baseline,ok,,0.002430198125,0.026106807509467523,38.30418558980658,3.1999,25.008033048706213,thermal_die3,0.05082139650650911,0.8896393992567991,B:3;F:13;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,m4_all_recipes,M4 greedy without Pareto pruning,ablation,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,m4_greedy,M4 greedy recipe scheduling,proposed,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,m5_cpsat,M5 CP-SAT,proposed,ok,,0.00215092,0.02310661580658733,43.27764863407284,2.8848999999999996,25.001645441605017,thermal_die2,0.06599455116880217,0.9999999999999998,F:16;I:5;S:1,0,FEASIBLE,5.024978,,
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,m6_alns,M6 CP-SAT-ALNS,proposed,skipped,target_count=22 exceeds max_alns_targets=16,,,,,,,,,,,,,,
