schedule_id,thermal_region,die_id,peak_temperature_c,peak_time_s,limit_c,over_limit_duration_s,violation_count
m10_medium_p22810_5_5d_multi_tower::stress_proxy::fixed_fastest,thermal_die3,die3,47.796510634480285,9.759468749999999e-05,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::fixed_fastest,thermal_die4,die4,41.420612073908735,0.0001532566875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::fixed_fastest,thermal_die5,die5,40.559685247906195,0.0001324166875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::low_power,thermal_die0,die0,83.07780774510174,0.00010502925,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::low_power,thermal_die1,die1,82.26982145334436,0.00013408625,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::low_power,thermal_die2,die2,63.826533749869476,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::low_power,thermal_die3,die3,64.30965300288756,0.0005918562500000001,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::low_power,thermal_die4,die4,51.38565314960938,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::low_power,thermal_die5,die5,56.37726956533604,0.0005960162500000001,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::thermal_min_risk,thermal_die0,die0,83.07780774510174,0.00010502925,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::thermal_min_risk,thermal_die1,die1,82.26982145334436,0.00013408625,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::thermal_min_risk,thermal_die2,die2,63.826533749869476,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::thermal_min_risk,thermal_die3,die3,64.30965300288756,0.0005918562500000001,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::thermal_min_risk,thermal_die4,die4,51.38565314960938,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::thermal_min_risk,thermal_die5,die5,56.37726956533604,0.0005960162500000001,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::m4_greedy,thermal_die0,die0,82.1545947488227,0.0001107676875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::m4_greedy,thermal_die1,die1,82.23781606454595,0.0001532566875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::m4_greedy,thermal_die2,die2,48.6903068383374,0.00014584868749999998,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::m4_greedy,thermal_die3,die3,47.796510634480285,9.759468749999999e-05,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::m4_greedy,thermal_die4,die4,41.420612073908735,0.0001532566875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::m4_greedy,thermal_die5,die5,40.559685247906195,0.0001324166875,85.0,0.0,0
