ablation_id,ablation_label,case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,20,tam_like,fixed_path,ok,,2.6605922000000017,0.006250022679478639,159.99941940745364,-14557.295063904812,2.48,48.4613552086438,23.461355208643802,thermal_die7,0.9999878974312555,0.0013093475956217555,91,0.003483639999999999,2.6605600000000003,2.663828280000002,F:20;I:7;S:1,0,20,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,20,m4_greedy,joint,ok,,0.018152,4.264103746447734e-05,23451.58700308506,0.0,32.8,72.71497044595583,47.71497044595583,thermal_die2,0.0,0.19723005729396204,71,0.003580119999999999,0,0.12324828000000004,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,48,48,1,pure_serial,baseline,ok,,425.6932072800001,1.0,1.0,-354599.8836812452,2.48,47.53455399660647,22.53455399660647,thermal_die7,0.0,0.999999936574041,111,425.69318028000015,0,425.69299051999997,I:7;S:21,0,0,0,21,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,48,48,1,fixed_fastest,fixed_path,ok,,0.12001504000000005,0.0002819284826432761,3546.9988368124523,0.0,4.53,54.64315804717658,29.643158047176577,thermal_die2,0.0,0.02983059456548111,71,0.003580119999999999,0,0.12324828000000004,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,48,48,1,tam_like,fixed_path,ok,,0.12001504000000005,0.0002819284826432761,3546.9988368124523,0.0,4.53,54.64315804717658,29.643158047176577,thermal_die2,0.0,0.02983059456548111,71,0.003580119999999999,0,0.12324828000000004,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,48,48,1,m4_greedy,joint,ok,,0.12001504000000005,0.0002819284826432761,3546.9988368124523,0.0,4.53,54.64315804717658,29.643158047176577,thermal_die2,0.0,0.02983059456548111,71,0.003580119999999999,0,0.12324828000000004,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,1,pure_serial,baseline,ok,,425.6932072800001,1.0,1.0,-354599.8836812452,2.48,47.53455399660647,22.53455399660647,thermal_die7,0.0,0.999999936574041,111,425.69318028000015,0,425.69299051999997,I:7;S:21,0,0,0,21,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,1,fixed_fastest,fixed_path,ok,,0.12001504000000005,0.0002819284826432761,3546.9988368124523,0.0,4.53,54.64315804717658,29.643158047176577,thermal_die2,0.0,0.02983059456548111,71,0.003580119999999999,0,0.12324828000000004,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,1,tam_like,fixed_path,ok,,2.6605922000000017,0.006250022679478639,159.99941940745364,-2116.8823174162176,2.48,48.4613552086438,23.461355208643802,thermal_die7,0.9999878974312555,0.0013093475956217555,91,0.003483639999999999,2.6605600000000003,2.663828280000002,F:20;I:7;S:1,0,20,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,1,m4_greedy,joint,ok,,0.08401504000000001,0.00019736053703280974,5066.869066300511,29.99624047119429,6.640000000000001,53.78059142426232,28.78059142426232,thermal_die1,0.792715209086373,0.042272907327069044,77,0.003551559999999999,0.0666,0.15385428000000004,B:14;F:6;I:7;S:1,14,6,0,1,greedy
